,السعر,الموديل,موديل سنة,لون السيارة,قوة الماتور,عدد الركاب,عداد السيارة,أصحاب سابقون,أصل السيارة,رخصة السيارة,نوع الوقود,نوع الجير,الزجاج,وسادة حماية هوائية,فرش جلد,جنطات مغنيسيوم,فتحة سقف,مسجل CD,إغلاق مركزي,مُكيّف,جهاز إنذار
922,40000.0,كيا ريو,2011,كرميدي ,1600.0,5.0,65000.0,3.0,عمومي ,فلسطينية ,ديزل ,عادي ,الكتروني ,1,0,1,0,1,1,1,0
923,45000.0,بي ام دبليو 316,1987,أخضر ,2500.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,0,1,1,1,1,1,0,1
925,65000.0,ستروين بيكاسو C3,2013,خمري ,1600.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,0,1,0,1,1,1,1
926,75000.0,سكودا رابيد,2014,أبيض ,1600.0,4.0,90000.0,1.0,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,0,0,1,0,1,0,1,0
927,55000.0,سكودا اوكتافيا,2010,أبيض ,1900.0,5.0,445000.0,3.0,عمومي ,فلسطينية ,ديزل ,عادي ,الكتروني ,1,0,0,0,1,1,1,1
928,30000.0,اودي A4,1998,كرميدي ,1800.0,5.0,169000.0,7.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,0,1,0,1,1,1,1
929,58000.0,سكودا اوكتافيا,2007,أبيض ,1900.0,5.0,20000.0,2.0,عمومي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,1,1,0,0,1,1,1,1
930,117000.0,مرسيدس E280,2005,فضي ,3222.0,5.0,170000.0,2.0,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,1,0,1,1,1,1,1,1
931,63000.0,هونداي اكسنت,2015,أبيض عاجي ,1400.0,5.0,32000.0,0.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,1,1,0,1,1,1,1
932,46500.0,فورد فيستا,2015,أبيض عاجي ,1250.0,5.0,30000.0,0.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,0,1,0,1,1,1,1
934,65000.0,سكودا اوكتافيا,2010,كحلي ,1600.0,1.0,175000.0,3.0,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,0,0,1,0,1,1,1,0
935,45000.0,كيا برايد,2008,أزرق ,1600.0,5.0,87400.0,2.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,1,1,0,1,1,1,1
936,115000.0,كيا سبورتاج,2015,فيراني ,2000.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,1,1,1,0,1,1,1,1
937,180000.0,كيا سورينتو,2016,أبيض عاجي ,2200.0,7.0,45000.0,0.0,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,1,1,1,1,1,1,1,1
938,95000.0,هونداي توسان,2014,خمري ,2000.0,5.0,32000.0,2.0,خصوصي ,فلسطينية ,ديزل ,نصف اوتوماتيك ,الكتروني ,1,1,1,1,1,1,1,1
939,83000.0,سكودا اوكتافيا,2013,بترولي ,1600.0,5.0,100.0,2.0,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,1,0,1,0,1,1,1,1
940,85000.0,تويوتا تيندرا,1997,فيراني ,2400.0,5.0,65000.0,2.0,تجاري ,فلسطينية ,ديزل ,عادي ,يدوي ,1,1,1,1,1,1,1,1
941,35000.0,فولكسفاجن كادي,2001,أبيض عاجي ,1900.0,5.0,0.0,3.0,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,0,0,1,0,1,1,1,1
943,78000.0,سكودا اوكتافيا,2012,عدة الوان ,1600.0,5.0,190000.0,2.0,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,1,1,1,0,1,1,1,1
944,18000.0,اودي 80,1992,أبيض ,1600.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,0,1,1,0,1,1,1,0
945,24000.0,روفر s400,1999,رصاصي ,1600.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,0,1,1,0,1,1,1
946,52000.0,اوبل كورسا,2011,فضي ,1400.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,0,1,0,1,1,1,1
947,125000.0,فولكسفاجن باسات,2014,أبيض ,2000.0,5.0,2000.0,1.0,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,1,1,1,0,1,1,1,1
948,53000.0,سكودا فابيا,2013,أسود ,1200.0,5.0,92000.0,2.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,1,0,0,1,1,1,1
